username,name,location,company,bio,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
IvanPerez-dev,,,,,1,17,5,17.0,1,365.25,0,0,0,1,27,Java,1,1,J,0.0,0.0,0,303.0,False
devpedroj,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
albinagorta,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
luisfarfan,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
ItaloAranda,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
Wusinho,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,Ruby,1,1,J,0.0,0.0,0,996.0,False
emiliusvgs,,,,,1,6,5,6.0,1,365.25,0,0,0,1,16,,0,1,R,0.0,0.0,0,2345.0,False
orbital23,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
galfarotolon,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
wilson0xb4,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
cristhianLaurente,,,,,3,13,0,4.333333333333333,1,1095.75,0,0,0,3,13,"CSS, TypeScript",2,2,J,0.0,0.0,15,1147.0,False
kotlindebolsillo,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
leoalipazaga,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
williamscafdev,,,,,4,18,7,4.5,1,1461.0,0,0,0,3,32,"Dart, TypeScript, C++",3,2,J,0.0,0.0,0,315.0,False
rubyperu,,,,,1,24,15,24.0,1,365.25,0,0,0,1,54,CSS,1,1,J,0.0,0.0,3,591.0,False
davidbarraza,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
izipay-dev,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
dmotta,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
SlayerPower,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
adrianastef1425,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
Angel-2002,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
DreckSallow,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
FrancisM16,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
dev-nekko,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
getavi,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
MartinpcDev,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
gvillena,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
puntoenv,,,,,1,6,5,6.0,1,365.25,0,0,0,1,16,JavaScript,1,1,J,0.0,0.0,0,584.0,False
carmen0810,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
lags2022,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
alejo742,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
eastor112,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
piscosour,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
dkevlas,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
MarcOliva,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
programadorescs,,,,,4,31,7,7.75,1,1461.0,0,0,0,3,45,Kotlin,1,1,J,0.0,0.0,0,650.0,False
Andre6-dev,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
cucarach0n,,,,,2,13,23,6.5,1,730.5,0,0,0,2,59,"PHP, HTML",2,1,Q,0.0,0.0,1,3553.0,False
Julioocz,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
bercode21,,,,,3,17,4,5.666666666666667,1,1095.75,0,0,0,3,25,HTML,1,2,I,0.0,0.0,0,945.0,False
Juank628,,,,,1,4,0,4.0,1,365.25,0,0,0,1,4,HTML,1,1,J,0.0,0.0,2,1214.0,False
Jonathan03R,,,,,1,5,2,5.0,1,365.25,0,0,0,1,9,JavaScript,1,1,J,0.0,0.0,9,95.0,False
hugobullont,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
KeyvinSV,,,,,1,53,28,53.0,1,365.25,0,0,0,1,109,TeX,1,1,P,0.0,0.0,5,1199.0,False
SebasMBK,,,,,2,56,6,28.0,1,730.5,0,0,0,2,68,Python,1,2,G,0.0,0.5,0,1140.0,False
opando,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
macostag,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
cobyzero,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
jedionmelbin,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
yanicklandry,,,,,1,5,4,5.0,1,365.25,0,0,0,1,13,JavaScript,1,1,J,0.0,0.0,0,108.0,False
Juanca0312,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
Dvex,,,,,1,8,7,8.0,1,365.25,0,0,0,1,22,PHP,1,1,J,0.0,1.0,0,5029.0,False
kenqefh,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,Ruby,1,1,J,0.0,0.0,0,1820.0,False
DeivyPereira,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,JavaScript,1,1,R,0.0,1.0,0,2012.0,False
maximopeoficiales,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
miguel8arivera,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
rpinedaec83,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
anthony-rosado,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
ilidanrock,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
gabyrramos,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
gyosida,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,Kotlin,1,1,J,0.0,0.0,0,326.0,False
Juandeyby,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
iesussan,,,,,1,4,3,4.0,1,365.25,0,0,0,1,10,Shell,1,1,J,0.0,0.0,0,2717.0,False
raseconomics,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
peteragurto,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,Kotlin,1,1,O,0.0,1.0,0,195.0,False
NONHUMAN-SITE,,,,,3,12,0,4.0,1,1095.75,0,0,0,3,12,"Python, Jupyter Notebook",2,1,M,0.0,0.0,3,4.0,True
ieeecsutp,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,JavaScript,1,1,J,0.0,0.0,0,142.0,False
juancotera,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
dfigueroaw,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,,0,1,P,0.0,0.0,0,200.0,False
Artcs1,,,,,3,25,3,8.333333333333334,1,1095.75,0,0,0,3,31,"C++, Python, Jupyter Notebook",3,2,M,0.0,0.0,1,80.0,True
DwijanX,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
AJ-Derteano,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
Rogocita,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
JoelPasapera,,,,,2,14,2,7.0,1,730.5,0,0,0,2,18,Python,1,1,K,0.0,1.0,0,100.0,False
pythonperu-org,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
jubre,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
jcpazos,,,,,1,4,2,4.0,1,365.25,0,0,0,1,8,C,1,1,J,0.0,0.0,1,1791.0,False
Carlos-Ballon,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
GeraldineCh,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
EluMadrid,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
leoerick08,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
danferkz,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
idbi,,,,,1,3,0,3.0,1,365.25,0,0,0,1,3,TypeScript,1,1,J,0.0,0.0,0,614.0,False
YamilAyma,,,,,1,5,0,5.0,1,365.25,0,0,0,1,5,,0,1,J,0.0,1.0,0,12.0,True
ChoqueCastroLD,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
dwebert,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
Fredy,,,,,1,4,1,4.0,1,365.25,0,0,0,1,6,Python,1,1,Q,0.0,1.0,4,1514.0,False
jlzarates,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
MartiusBr,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
piercenovo,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
MariaCristinaTC,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
Alex23013,,,,,1,5,2,5.0,1,365.25,0,0,0,1,9,Python,1,1,M,0.0,0.0,0,198.0,False
luis-palomino,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
EmPuiquin24,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
PeruCoinOfficial,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
maddog05,,,,,1,17,1,17.0,1,365.25,0,0,0,1,19,Kotlin,1,1,R,0.0,1.0,0,257.0,False
francisc0-PE,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
protectasecurity,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
sogeking-pixel,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
oliveraluis11,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
rhuangal,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
OmerJuve2023,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
EGL9,,,,,1,5,1,5.0,1,365.25,0,0,0,1,7,,0,1,J,0.0,0.0,1,929.0,False
MichaelSuarez0,,,,,1,3,2,3.0,1,365.25,0,0,0,1,7,Python,1,1,O,0.0,1.0,10,60.0,True
geckolml,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
